filename,Transcript
Santa_Ono_1.wav," Hello colleagues and friends across the UM community. Shortly after starting my dream job, President of this exceptional university, I asked us to engage in a strategic vision."
Santa_Ono_2.wav," process. One that would sharpen our impact and determine where we will go and what we will dare to achieve. More than 25,000 students,"
Santa_Ono_3.wav," faculty, staff, alumni, donors, and members of our local community have engaged in the visioning process. I am so grateful to all of you who joined us."
Santa_Ono_4.wav," For together, we have created a new vision that will open new horizons and new opportunities while drawing on our ethos, our tremendous strengths."
Santa_Ono_5.wav, and our exceptional capabilities as a university. Together we will transform the University of Michigan into the defining public university. Boldly
Santa_Ono_6.wav, exemplified by our innovation and service to the public good. And together we will leverage our interdisciplinary and excellence at scale to end.
Santa_Ono_7.wav," educate learners, advance society, and make groundbreaking discoveries to impact the greatest challenges facing humanity. Over the next 10 years,"
Santa_Ono_8.wav," We will harness our unparalleled excellence and vast intellectual resources to make dramatic, focused, and demonstrable advancements."
Santa_Ono_9.wav," in service to humanity. We will do so in several impact areas, including life changing education, human health and"
Santa_Ono_10.wav," well-being, climate action, sustainability and environmental justice, and democracy, civic and global engagement."
Santa_Ono_11.wav," as we advance in these areas and to truly realize our vision as the defining public university, we will make strategic investments in core"
Santa_Ono_12.wav, commitments and key institutional priorities. These are designed to advance our mission and to boldly affirm the critical role of higher education.
Santa_Ono_13.wav, education in society for generations to come. They include essential areas of growth and engagement including a priority.
Santa_Ono_14.wav," purpose, driving education and student experience. Research, discovery, scholarship, and artificial intelligence. Community Health Center"
Santa_Ono_15.wav," support, prevention and performance, arts and creative expression, diversity, equity and inclusion."
Santa_Ono_16.wav," faculty and staff engagement and experience, and innovation, partnerships, and economic developments. In concert we'll come our campers."
Santa_Ono_17.wav," Campus Plan 2050, through which we will make the vision into a reality for our Ann Arbor campus. All of these efforts and"
Santa_Ono_18.wav," more will be guided by our commitment to our core values as a university. Values of respect and diversity, inclusion, and"
Santa_Ono_19.wav," and equity, innovation and integrity. That brings us to this month's portrait of a Wolverine. It's a portrait that involves all of us."
Santa_Ono_20.wav, us. All of you who have created this vision and all of you who transform it into a reality. For it is now ours to
Santa_Ono_21.wav, build and create to aspire and to achieve to serve and to lead. So this month's portrait of a Wolverine
Santa_Ono_22.wav," belongs to all of us. To all of those who guided by our ethos and our vision will create a stronger, brighter,"
Santa_Ono_23.wav, bolder university. We've established our vision. Let's make it a reality. Wherever we go progress follows.
Santa_Ono_24.wav," University of Michigan community. Even in the season of celebrations and light, our hearts remain broken by the terrible bloodshed in the Middle East. And the"
Santa_Ono_25.wav," loss of so many innocent lives. For Angaza and the West Bank, violence is escalating. Bombs are falling."
Santa_Ono_26.wav," flames are raging. Palestinians, civilians are suffering and dying and mourning the loss of those closest to them. In Israel, families, and families are suffering."
Santa_Ono_27.wav, families continue to weep for the loss of their loved ones on October 7th. Even as so many continue to hope against heart-wrenching hope that those who
Santa_Ono_28.wav," those taken hostage by Hamas will be safely returned. I recognize how grief's stricken, how heartbroken, how"
Santa_Ono_29.wav," in rage so many in our community feel. For this tempest of war has placed a terrible burden on our students, our faculty, our students."
Santa_Ono_30.wav," staff from our Israeli, Palestinian, Muslim, Jewish, and Arab communities. Deeply rooted bigotry."
Santa_Ono_31.wav, have produced poisonous fruit. Students have faced intimidation. Faculty members have suffered verbal abuse. And so
Santa_Ono_32.wav, sadly at times stereotypes have spoken far louder than truths. I also recognize that the pre-dreamer of the past is a true reality.
Santa_Ono_33.wav, your statements of mine did not fully express our heartbreak for the suffering of the innocent people in the Arab and Muslim communities. Or are our
Santa_Ono_34.wav," front at the vandalism of the flyers and posters, which affected Jewish students, Palestinian students, and many other communities."
Santa_Ono_35.wav," we will, I will do better in the future. Yet no words of mine, no matter how heartfelt and no statement,"
Santa_Ono_36.wav, of mind no matter how clear will assuage the heartbreak or bring this terrible war to a close. So what is our role as a
Santa_Ono_37.wav, a great pluralistic public university. I respectfully offer that we must reaffirm our values. We must show others that
Santa_Ono_38.wav, there can be and must be a better way. We must show the world that here at the University of Michigan we can consider issues of great contention
Santa_Ono_39.wav," with respect, inclusion and integrity. We must make it clear that racism, anti-Semitism and anti-Arab and anti-Memory"
Santa_Ono_40.wav, Muslim bigotry have no place on our campus or in our community. They demean our values. They debase our university.
Santa_Ono_41.wav," they disrespect all religions and cultures. Even more, we must not permit vigilante tactics."
Santa_Ono_42.wav," Whether they be vandalized flyers, doxing trucks, or uncomfortable caricatures or comparisons to impede our commitment"
Santa_Ono_43.wav," to the freedom of speech, inquiry and debate, and our dedication to inclusion, pluralism, and unity. Rather,"
Santa_Ono_44.wav," we must reaffirm our commitment to our values of respect and inclusion, equity and diversity. Especially when passions are aroused,"
Santa_Ono_45.wav," we must recommit to heating the quiet call of civic engagement and citizenship. To listening with empathy, to walking together in humility,"
Santa_Ono_46.wav, and to treating each person with deep respect and dignity. I am convinced that we can lead with our example.
Santa_Ono_47.wav," we can show a better way. So during these dark days of violence, let us renew our commitment to respecting one another."
Santa_Ono_48.wav, to reaching across our communities and to creating a campus where all people's of all backgrounds and faiths can join together in creating a bridge.
Santa_Ono_49.wav," Hello colleagues and friends across the University of Michigan community. Spring is a season of new beginnings, and one of the new beginnings for Montaulgence and Generative AI."
Santa_Ono_50.wav," brightest days for the University of Michigan lie ahead. By constantly discovering, learning, connecting, aspiring,"
Santa_Ono_51.wav," we can transform. This is our time to renew this rise, this commitment. This is our moment to dream, bold dreams."
Santa_Ono_52.wav, Let us come together like never before. Live our best traditions as a university and create a future beyond our dreams.
Santa_Ono_53.wav," everyone, it's wonderful to be here in this absolutely stunning Hill Auditorium. Paul, all of the reasons. Thank you so much."
Santa_Ono_54.wav," this high honor to serve the greatest university in the world, the University of Michigan."
Santa_Ono_55.wav, Thank you all for joining us whether online or in this magnificent auditorium. Thank you again.
Santa_Ono_56.wav, of you for this opportunity and for your faith in me. It is a singular honor and privilege to be inaugurated today.
Santa_Ono_57.wav, to serve as the University of Michigan's 15th President. I would also like to thank our distinguished guests and speakers for joining us.
Santa_Ono_58.wav," us. You've had a chance to hear from them. They're remarkable people. Michigan's Lieutenant Governor, Garland Gilchrist, an engineer"
Santa_Ono_59.wav, by training in a problem solver by vocation. But a proud Miss Uganda and a proud Wolverine. Let's hear it for him.
Santa_Ono_60.wav, And you heard from Victor Zau.
Santa_Ono_61.wav, He's an iconic figure in medicine and in science. He's a leader who serves as a president of the National Academy of Sciences.
Santa_Ono_62.wav, Academy of Medicine of the United States of America. I've been lucky to come to know Victor over the past 15 years.
Santa_Ono_63.wav," I've looked up to every step of the way. As you know, we were both educated at McGill University in Montreal."
Santa_Ono_64.wav," And we both worked at Harvard. And I looked up to them, as I said, as a great scientist, a great healer."
Santa_Ono_65.wav," someone who knows how to build institutions. Victor, thank you so much for being here today."
Santa_Ono_66.wav," And of course Hannah Holburn Gray, a trailblazer."
Santa_Ono_67.wav," a great academic. Someone whose advice and counsel is thought, sought after all around the world, President Emerita."
Santa_Ono_68.wav," of the University of Chicago, an exceptional president, and a truly inspiring model of leadership, as you heard,"
Santa_Ono_69.wav," Hanna signed my undergraduate degree from the University of Chicago in 1984. Thank you, Hanna, for being here."
Santa_Ono_70.wav," And Alan Liu, Professor Alan Liu."
Santa_Ono_71.wav," even more important than being the chair of the Senate Advisory Committee on University Affairs. Alan is a fellow Vancouverite, a Canadian."
Santa_Ono_72.wav," And he earned his undergraduate degree from none other than the University of British Columbia. And for all of you watching from UBC,"
Santa_Ono_73.wav, Thank you for a remarkable almost seven years serving as your president. What a wonderful institution I shall always be proud.
Santa_Ono_74.wav, to have been associated with UBC. Let's hear it for UBC. Applause and answers.
Santa_Ono_75.wav," And what can I say about my mentor, Earl Lewis, someone who is known throughout this campus, but also"
Santa_Ono_76.wav," around the world, my mentor and my guide, and one of the most outstanding people I know on this planet."
Santa_Ono_77.wav, him. He gave me the high gift of trust at Emory University and as you heard he created an office around me. I was the first ever
Santa_Ono_78.wav," Senior Vice Provost for Undergraduate Education. And in doing so, he launched my career in administration. I continue to work with him."
Santa_Ono_79.wav," to rely on his wisdom and counsel today, I would not be here, or at not for Earl, and therefore I would not be here."
Santa_Ono_80.wav, We're at not for the University of Michigan. Let's hear it for Earl. powered.
Santa_Ono_81.wav, Now you've had a chance to hear from my partner in academic leadership. Those of you who know how universities
Santa_Ono_82.wav," run, know that every President needs a great provost. And we have one here in Provost Laurie McColley."
Santa_Ono_83.wav, I am so grateful for even the
Santa_Ono_84.wav," the past only four and a half months of what is clear about who she is to the core, her selfless service."
Santa_Ono_85.wav," dedication to this university, her steadfast, calm, collected, inspired strategic leadership."
Santa_Ono_86.wav, And I'm so glad that we will be serving the University of Michigan together for many years to come. This is a time for us to all work together.
Santa_Ono_87.wav, for stability and for bold steps forward. Both of us benefit from our immediate predecessor.
Santa_Ono_88.wav," who is on the platform party. President Marita Mary Sue Coleman, let's hear it for her. Applause"
Santa_Ono_89.wav, I can't find the way.
Santa_Ono_90.wav," words to express my really are gratitude to Mary Sue, 12 years of service."
Santa_Ono_91.wav, to this institution and she came back and she handed the baton to me. I couldn't think of a better guy.
Santa_Ono_92.wav," for a university president. This my dream job, as she is perhaps one of the greatest university presidents"
Santa_Ono_93.wav," of any institution of our time. I also want to acknowledge the members of our leadership team, including our chancellors."
Santa_Ono_94.wav, our Vice Presidents and our Deans. That's here for that.
Santa_Ono_95.wav, the deans. You know I said to the deans.
Santa_Ono_96.wav," You're going to see a lot more of me than a typical president. You agree that's the case, right? We travel together to California. We get together to talk about"
Santa_Ono_97.wav, the importance of research. We talked about how to bring faculty and students together to solve the most vexing problems in the world like climate change.
Santa_Ono_98.wav," It's a privilege. This group of deans is simply outstanding. I've been impressed with your dedication, your ability, and I'm so"
Santa_Ono_99.wav," grateful to all of you. And I'm also glad to welcome members of our staff, our faculty, from not only in Arbor, but Flin and DiRber. Let's hear from you."
Santa_Ono_100.wav, for our staff and faculty. Come to our office. Thank you for listening to us today.
Santa_Ono_101.wav," You see, before I came here, some of you may know that the University of Michigan is considered to be a spawning ground for talent."
Santa_Ono_102.wav," where you look, whether you're looking the Ivy League or the Big Ten or even the SEC, you will see people that were trained at the University of Michigan. I couldn't"
Santa_Ono_103.wav, not imagine serving with a more committed and outstanding and talented team. Let's hear it for them once again.
Santa_Ono_104.wav," But first and foremost, I met some of you out there."
